movie_id,movie_name,year,certificate,runtime,rating,description,director,actor,votes,gross_usd,genre
tt0216787,The Taste of Others,2000,R,112,7.2,"The lives of 6 people over 35 in Rouen, France, and their relationship to each other.",Agnès Jaoui,"Anne Alvaro, 
Jean-Pierre Bacri, 
Alain Chabat, 
Agnès Jaoui",10037,635282.0,"Romance, Comedy, Drama"
tt1646974,The Names of Love,2010,R,100,7.1,"A young, extroverted left-wing activist who sleeps with her political opponents to convert them to her cause is successful until she meets her match.",Michel Leclerc,"Sara Forestier, 
Jacques Gamblin, 
Zinedine Soualem, 
Carole Franck",8036,512668.0,"Romance, Comedy, Drama"
tt0069808,Blume in Love,1973,R,115,6.2,"Lawyer Stephen Blume, specialized in divorces, lives a paradoxical situation when, having his own marriage break up, is still in love with his ex-wife.",Paul Mazursky,"George Segal, 
Susan Anspach, 
Kris Kristofferson, 
Marsha Mason",1205,2600508.0,"Romance, Comedy, Drama"
tt0101629,Crooked Hearts,1991,R,113,6.0,How the discovery of a father's affair affects each member of his family.,Michael Bortman,"Peter Berg, 
Vincent D'Onofrio, 
Noah Wyle, 
Peter Coyote",1086,31000.0,"Romance, Drama"
tt0066415,The Strawberry Statement,1970,R,109,6.6,An apolitical college student joins a group of campus protesters to meet girls but gets swept up in their cause and involved in a violent confrontation with police.,Stuart Hagmann,"Bruce Davison, 
Kim Darby, 
Bud Cort, 
Murray MacLeod",1732,804274.0,"Romance, Drama"
tt0113443,It's My Party,1996,R,110,7.1,"Nick ""Eric Roberts"", is nearing the end of a 3-year battle with AIDS and makes arrangements to die. He hosts a party to say goodbye to friends and family. His ex-partner, Brandon ""Gregory Harrison"", attends and things get complicated.",Randal Kleiser,"Eric Roberts, 
Gregory Harrison, 
Margaret Cho, 
Bruce Davison",3133,616663.0,"Romance, Drama"
tt0122082,Gadjo dilo,1997,Unrated,102,7.6,A man is looking for a singer he had heard on cassette. He finds much more.,Tony Gatlif,"Romain Duris, 
Rona Hartner, 
Izidor Serban, 
Ovidiu Balan",8085,673153.0,"Romance, Comedy, Drama, Music"
tt0304678,Sex Is Comedy,2002,R,92,5.6,"A director struggles to film a difficult, intimate sex scene between two actors who happen to hate each other.",Catherine Breillat,"Anne Parillaud, 
Grégoire Colin, 
Roxane Mesquida, 
Ashley Wanninger",2924,40274.0,"Romance, Comedy, Drama"
tt0041373,Flamingo Road,1949,Approved,94,7.1,A corrupt small town sheriff manipulates local candidates to the state legislature but he eventually comes into conflict with a visiting carnival dancer.,Michael Curtiz,"Joan Crawford, 
Zachary Scott, 
Sydney Greenstreet, 
David Brian",3098,2263000.0,"Romance, Drama, Film-Noir"
tt0066445,"Tell Me That You Love Me, Junie Moon",1970,PG,113,6.1,"The story of three wildly neurotic characters: A facially disfigured girl, a homosexual paraplegic and an introvert epileptic who, after leaving the hospital, set up housekeeping together in a cottage where they support each other.",Otto Preminger,"Liza Minnelli, 
Ken Howard, 
Robert Moore, 
James Coco",980,393483.0,"Romance, Comedy, Drama"
tt0372122,Adam & Steve,2005,R,99,5.8,Follows two New York city couples -- one heterosexual and one gay who explore the peaks and the valleys of their respective relationships.,Craig Chester,"Craig Chester, 
Malcolm Gets, 
Parker Posey, 
Chris Kattan",3199,309384.0,"Romance, Comedy, Drama, Music"
tt0097635,Jesus of Montreal,1989,R,120,7.5,"A group of actors put on an unorthodox, but acclaimed Passion Play which incites the opposition of the Catholic Church while the actors' lives themselves begin to mirror the Passion itself.",Denys Arcand,"Lothaire Bluteau, 
Catherine Wilkening, 
Johanne-Marie Tremblay, 
Rémy Girard",7345,1601612.0,"Romance, Drama"
tt7027278,Kedarnath,2018,Not Rated,116,6.7,"Mansoor, a reserved and reticent Pithoo, helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love.",Abhishek Kapoor,"Sushant Singh Rajput, 
Sara Ali Khan, 
Nitish Bharadwaj, 
Alka Amin",14487,901131.0,"Romance, Drama"
tt0118894,Cousin Bette,1998,R,108,6.2,"When her sister dies in 1846, Bette moves from the château to Paris to work as a theater seamstress. She helps a handsome, starving artist. When her niece lures him away from her, she plans a devious revenge.",Des McAnuff,"Jessica Lange, 
Elisabeth Shue, 
Bob Hoskins, 
Geraldine Chaplin",2755,1200000.0,"Romance, Comedy, Drama"
tt0301684,Once Upon a Time in the Midlands,2002,R,104,6.1,"After seeing his ex-girlfriend (Henderson) turn down a nationally televised marriage proposal, a small-time crook (Carlyle) returns to his hometown to try and win back her heart.",Shane Meadows,"Robert Carlyle, 
Rhys Ifans, 
Kathy Burke, 
Vanessa Feltz",4583,171830.0,"Romance, Comedy, Drama"
tt1204773,Alle Anderen,2009,Unrated,119,6.6,"While on a Mediterranean vacation, a seemingly happy boyfriend and girlfriend find their connection to one another tested as they bond with another couple.",Maren Ade,"Lars Eidinger, 
Birgit Minichmayr, 
Hans-Jochen Wagner, 
Nicole Marischka",3845,101343.0,"Romance, Drama"
tt1067733,"Patrik, Age 1.5",2008,Unrated,103,6.9,"A Swedish gay couple adopt what they think is an 18-month-old orphan, only to meet their new son, a 15-year-old homophobic delinquent.",Ella Lemhagen,"Gustaf Skarsgård, 
Torkel Petersson, 
Tom Ljungman, 
Amanda Davin",10124,56299.0,"Romance, Comedy, Drama"
tt0120793,A Price Above Rubies,1998,R,117,6.5,This movie is about a young woman who is married to a devout Jew and the problems that trouble their marriage because of her wanting something more out of her life.,Boaz Yakin,"Renée Zellweger, 
Christopher Eccleston, 
Julianna Margulies, 
Allen Payne",2874,1081957.0,"Romance, Drama"
tt0098283,See You in the Morning,1989,PG-13,119,5.8,"Larry, a divorced psychiatrist, meets Beth, a widowed photographer, at a party in Manhattan. He walks her home. They both have two kids though he rarely sees his. Will marriage work?",Alan J. Pakula,"Jeff Bridges, 
Alice Krige, 
Farrah Fawcett, 
Drew Barrymore",992,4795000.0,"Romance, Drama"
tt0848542,Arranged,2007,Not Rated,90,7.3,ARRANGED centers on the friendship between an Orthodox Jewish woman and a Muslim woman who meet as first-year teachers at a public school in Brooklyn. Over the course of the year they learn...                See full summary »,"Diane Crespo, 
Stefan C. Schaefer","Zoe Lister-Jones, 
Francis Benhamou, 
Mimi Lieber, 
John Rothman",3025,21898.0,"Romance, Comedy, Drama"
tt1159922,Cheerful Weather for the Wedding,2012,PG,89,5.6,"A young woman frets upstairs in her family's country manor on her wedding day, fearful she's about to marry the wrong man. Downstairs, her fiancé and her former lover grow increasingly anxious.",Donald Rice,"Felicity Jones, 
Luke Treadaway, 
Elizabeth McGovern, 
James Norton",2373,1949.0,"Romance, Comedy, Drama"
tt0496319,The Hottest State,2006,R,117,6.0,A young actor from Texas tries to make it in New York while struggling in his relationship with a beautiful singer/songwriter.,Ethan Hawke,"Mark Webber, 
Catalina Sandino Moreno, 
Laura Linney, 
Daniel Ross Owens",2840,30629.0,"Romance, Drama, Music"
tt0295238,Personal Velocity,2002,R,86,6.5,Three women's escapes from their afflicted lives. Each struggles to flee from the men who confine their personal freedom.,Rebecca Miller,"Kyra Sedgwick, 
Parker Posey, 
Fairuza Balk, 
John Ventimiglia",3794,765540.0,"Romance, Drama"
tt6905402,A Boy. A Girl. A Dream.,2018,R,89,4.7,"On the night of the 2016 Presidential election, Cass, an L.A. club promoter, takes a thrilling and emotional journey with Frida, a Midwestern visitor. She challenges him to revisit his broken dreams - while he pushes her to discover hers.",Qasim Basir,"Omari Hardwick, 
Meagan Good, 
Jay Ellis, 
Dijon Talton",535,100552.0,"Romance, Drama"
tt0357470,The Battle of Shaker Heights,2003,PG-13,79,6.0,"Two high school boys, reenacting historic battles, use learned strategy and team up for war on a school bully. One falls for the other's sister.","Efram Potelle, 
Kyle Rankin","Shia LaBeouf, 
Elden Henson, 
Amy Smart, 
Anson Mount",4464,279282.0,"Romance, Comedy, Drama"
tt9081562,More Than Blue,2018,TV-14,105,6.1,"A terminally ill man sets up his best friend, whom he has loved since high school, so that she will not be lonely after he passes away.",Gavin Lin,"Ivy Yi-Han Chen, 
Jasper Liu, 
Bryan Shu-Hao Chang, 
Annie Chen",1260,722669.0,"Romance, "
